"","Overall","Ball Control","Short Passing","Stamina","Strength","Positioning","Acceleration","Dribbling","Finishing","Heading Accuracy","Interceptions Midfield","Long Shots","Vision","Interceptions Defense","Sliding Tackle","Standing Tackle","GK"
"Russia",78,57,61,61,70,55,83,78,75,63,71,69,75,74,76,78,78
"Uruguay",79,70,70,74,72,62,76,80,79,66,55,78,79,82,81,81,80
"Spain",85,82,81,75,70,70,73,87,75,57,70,77,87,85,85,85,90
"Portugal",82,75,75,76,67,67,85,88,78,54,67,79,84,83,76,79,83
"France",84,76,76,75,73,65,82,87,80,63,73,72,80,85,82,85,86
"Denmark",78,67,69,69,72,55,75,79,75,61,71,73,82,77,75,79,77
"Argentina",84,78,76,72,68,67,90,90,84,59,53,80,85,84,82,82,83
"Croatia",80,74,73,72,70,64,76,84,74,59,74,80,86,78,76,78,81
"Brazil",84,79,76,76,70,67,87,88,79,52,57,77,80,84,86,86,83
"Switzerland",78,66,68,69,71,57,75,78,66,55,73,78,78,76,78,78,80
"Germany",85,65,69,63,76,52,77,84,78,59,64,81,87,85,83,86,86
"Sweden",77,69,68,66,76,61,69,80,76,56,57,76,79,78,76,78,74
"Belgium",83,75,74,74,75,69,86,88,81,49,68,80,81,82,83,85,85
"England",82,69,70,74,73,61,78,83,77,63,71,74,81,79,82,82,81
"Poland",78,60,61,66,72,54,79,79,71,65,69,71,75,79,77,80,77
"Colombia",79,74,70,72,72,67,81,83,78,66,64,75,74,75,77,77,79
